skenario,run_id,langkah,n_susceptible,n_infected,n_patched,n_recovered,rata_vulnerability,rata_user_awareness
Baseline (Tanpa Intervensi),1,1,45,5,0,0,0.6414,0.2596
Baseline (Tanpa Intervensi),1,2,44,6,0,0,0.5331,0.2596
Baseline (Tanpa Intervensi),1,3,43,7,0,0,0.4466,0.2596
Baseline (Tanpa Intervensi),1,4,42,8,0,0,0.3772,0.2596
Baseline (Tanpa Intervensi),1,5,42,8,0,0,0.3213,0.2596
Baseline (Tanpa Intervensi),1,6,42,8,0,0,0.2761,0.2596
Baseline (Tanpa Intervensi),1,7,42,8,0,0,0.2394,0.2596
Baseline (Tanpa Intervensi),1,8,42,8,0,0,0.2095,0.2596
Baseline (Tanpa Intervensi),1,9,42,8,0,0,0.185,0.2596
Baseline (Tanpa Intervensi),1,10,42,8,0,0,0.1649,0.2596
Baseline (Tanpa Intervensi),1,11,42,8,0,0,0.1484,0.2596
Baseline (Tanpa Intervensi),1,12,42,8,0,0,0.1347,0.2596
Baseline (Tanpa Intervensi),1,13,42,7,0,1,0.1217,0.2596
Baseline (Tanpa Intervensi),1,14,42,7,0,1,0.1125,0.2596
Baseline (Tanpa Intervensi),1,15,42,7,0,1,0.1049,0.2596
Baseline (Tanpa Intervensi),1,16,42,7,0,1,0.0984,0.2596
Baseline (Tanpa Intervensi),1,17,41,7,0,2,0.0914,0.2596
Baseline (Tanpa Intervensi),1,18,41,7,0,2,0.0871,0.2596
Baseline (Tanpa Intervensi),1,19,41,7,0,2,0.0834,0.2596
Baseline (Tanpa Intervensi),1,20,41,7,0,2,0.0803,0.2596
Baseline (Tanpa Intervensi),1,21,41,7,0,2,0.0776,0.2596
Baseline (Tanpa Intervensi),1,22,41,7,0,2,0.0754,0.2596
Baseline (Tanpa Intervensi),1,23,41,7,0,2,0.0734,0.2596
Baseline (Tanpa Intervensi),1,24,41,7,0,2,0.0717,0.2596
Baseline (Tanpa Intervensi),1,25,41,7,0,2,0.0703,0.2596
Baseline (Tanpa Intervensi),1,26,41,7,0,2,0.069,0.2596
Baseline (Tanpa Intervensi),1,27,41,6,0,3,0.0672,0.2596
Baseline (Tanpa Intervensi),1,28,41,4,0,5,0.0646,0.2596
Baseline (Tanpa Intervensi),1,29,41,4,0,5,0.0643,0.2596
Baseline (Tanpa Intervensi),1,30,41,4,0,5,0.064,0.2596
Baseline (Tanpa Intervensi),1,31,41,4,0,5,0.0638,0.2596
Baseline (Tanpa Intervensi),1,32,41,4,0,5,0.0635,0.2596
Baseline (Tanpa Intervensi),1,33,41,4,0,5,0.0632,0.2596
Baseline (Tanpa Intervensi),1,34,41,4,0,5,0.0629,0.2596
Baseline (Tanpa Intervensi),1,35,41,4,0,5,0.0626,0.2596
Baseline (Tanpa Intervensi),1,36,41,3,0,6,0.0611,0.2596
Baseline (Tanpa Intervensi),1,37,41,3,0,6,0.061,0.2596
Baseline (Tanpa Intervensi),1,38,41,3,0,6,0.061,0.2596
Baseline (Tanpa Intervensi),1,39,41,3,0,6,0.061,0.2596
Baseline (Tanpa Intervensi),1,40,41,3,0,6,0.061,0.2596
Baseline (Tanpa Intervensi),1,41,41,3,0,6,0.0609,0.2596
Baseline (Tanpa Intervensi),1,42,41,3,0,6,0.0609,0.2596
Baseline (Tanpa Intervensi),1,43,41,2,0,7,0.0592,0.2596
